"vOTU_id","checkv_quality","final_strategy","MQ_or_better","BS","SA","IA","DA"
"vOTU0329","Low-quality","virulent",0,588.082969221591,194.04387414217,34.9351418925141,0
"vOTU0046","Medium-quality","virulent",1,3231.61833639055,1370.74794791372,19.2613238742388,0
"vOTU0330","Low-quality","virulent",0,512.609903259902,48.5430410039629,0,0
"vOTU0331","Low-quality","virulent",0,1303.87319050562,145.886478104838,35.02000420869,0
"vOTU0332","Low-quality","virulent",0,528.117773640287,0,0,16.2945273485375
"vOTU0333","Low-quality","virulent",0,575.641870899103,48.8337082662437,0,0
"vOTU0334","Low-quality","virulent",0,8283.12312589191,391.886328200891,0,0
"vOTU0335","Low-quality","virulent",0,708.056982748583,98.1899888078419,0,0
"vOTU0336","Low-quality","virulent",0,1269.98616340339,49.1662356699467,35.4070324393226,49.27645313881
"vOTU0052","Low-quality","virulent",0,896.970966025703,64.5935424249291,0,0
"vOTU0337","Low-quality","virulent",0,774.624854609473,221.470693331843,0,0
"vOTU0338","Low-quality","virulent",0,724.96290197083,49.4255589478479,0,0
"vOTU0339","Low-quality","virulent",0,632.628425979565,148.359919990642,0,0
"vOTU0340","Low-quality","virulent",0,1701.55276032634,49.4588455563359,0,0
"vOTU0341","Low-quality","virulent",0,1139.52149854521,840.800794081557,0,0
"vOTU0343","Low-quality","virulent",0,517.689751560821,495.479101855486,0,0
"vOTU0344","Low-quality","virulent",0,4142.68723566207,396.918917480858,0,16.5753608037476
"vOTU0345","Low-quality","virulent",0,896.711269147622,347.538903696042,0,91.2261586526981
"vOTU0047","Low-quality","virulent",0,1499.41786904252,530.415407184948,0,0
"vOTU0346","Low-quality","virulent",0,752.871508002481,49.6652088965115,0,0
