"vOTU_id","class","order","family","genus","BS_group","SA_group","IA_group","DA_group","checkv_quality","final_strategy","MQ_or_better","representative_contig_id","representative_length_bp","BS_TPM","BS_relative_TPM","SA_TPM","SA_relative_TPM","IA_TPM","IA_relative_TPM","DA_TPM","DA_relative_TPM","class_assigned","class_raw","order_assigned","order_raw","family_assigned","family_raw","genus_assigned","genus_raw"
"vOTU0720","Caudoviricetes","Unclassified","Unclassified","Unclassified","Rare","Not detected","Not detected","Not detected","Low-quality","virulent",0,"FCH3CGLCCXYL4FAA_NODE_779",5820,528.8082293825,0.000528808229382499,0,0,0,0,0,0,TRUE,"Caudoviricetes",FALSE,"[Order]_Inhavirus",FALSE,"[Family]_Inhavirus",FALSE,""
"vOTU0092","Caudoviricetes","Unclassified","Unclassified","Unclassified","Intermediate","Rare","Not detected","Not detected","Low-quality","virulent",0,"FCH3CGLCCXYL4FAA_NODE_78",17996,1654.46157908154,0.00165446157908154,379.344538210554,0.000379344538210554,0,0,0,0,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
"vOTU0721","Caudoviricetes","Unclassified","Unclassified","Unclassified","Rare","Rare","Not detected","Not detected","Low-quality","virulent",0,"FCH3CGLCCXYL4FAA_NODE_780",5818,750.387717685752,0.000750387717685751,227.104443830671,0.000227104443830671,0,0,0,0,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
"vOTU0722","Caudoviricetes","Unclassified","Unclassified","Unclassified","Intermediate","Rare","Rare","Rare","Low-quality","virulent",0,"FCH3CGLCCXYL4FAA_NODE_781",5817,1119.01419361803,0.00111901419361803,302.858059288036,0.000302858059288036,81.7885627667122,8.17885627667122e-05,278.242217985562,0.000278242217985562,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
"vOTU0723","Caudoviricetes","Unclassified","Unclassified","Unclassified","Intermediate","Rare","Not detected","Rare","Low-quality","virulent",0,"FCH3CGLCCXYL4FAA_NODE_783",5807,1464.67409391012,0.00146467409391011,227.534769151793,0.000227534769151793,0,0,405.412632997448,0.000405412632997448,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
"vOTU0724","Caudoviricetes","Unclassified","Unclassified","Unclassified","Rare","Rare","Not detected","Not detected","Low-quality","virulent",0,"FCH3CGLCCXYL4FAA_NODE_784",5803,437.163298336829,0.000437163298336828,227.691499724043,0.000227691499724043,0,0,0,0,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
"vOTU0726","Caudoviricetes","Unclassified","Unclassified","Unclassified","Rare","Not detected","Rare","Rare","Low-quality","virulent",0,"FCH3CGLCCXYL4FAA_NODE_785",5792,733.384654813586,0.000733384654813585,0,0,54.7610923477149,5.47610923477149e-05,228.635188947479,0.000228635188947479,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
"vOTU0727","Caudoviricetes","Unclassified","Autographiviridae","Kajamvirus","Rare","Rare","Not detected","Not detected","Low-quality","virulent",0,"FCH3CGLCCXYL4FAA_NODE_786",5792,485.527869128343,0.000485527869128342,304.165240826201,0.000304165240826201,0,0,0,0,TRUE,"Caudoviricetes",FALSE,"[Order]_Autographiviridae",TRUE,"Autographiviridae",TRUE,"Kajamvirus"
"vOTU0728","Caudoviricetes","Unclassified","Unclassified","Unclassified","Rare","Rare","Not detected","Not detected","Low-quality","virulent",0,"FCH3CGLCCXYL4FAA_NODE_787",5789,635.250441667397,0.000635250441667396,76.0806941412555,7.60806941412555e-05,0,0,0,0,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
"vOTU0729","Unclassified","Unclassified","Unclassified","Unclassified","Rare","Rare","Not detected","Not detected","Low-quality","virulent",0,"FCH3CGLCCXYL4FAA_NODE_788",5788,567.40687929991,0.000567406879299909,76.0938217644789,7.60938217644788e-05,0,0,0,0,FALSE,,FALSE,,FALSE,,FALSE,
"vOTU0731","Caudoviricetes","Unclassified","Unclassified","Unclassified","Rare","Rare","Not detected","Not detected","Low-quality","virulent",0,"FCH3CGLCCXYL4FAA_NODE_789",5785,564.301829815682,0.000564301829815681,76.1333132677339,7.61333132677339e-05,0,0,0,0,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
"vOTU0093","Caudoviricetes","Unclassified","Unclassified","Unclassified","Intermediate","Intermediate","Rare","Not detected","Low-quality","virulent",0,"FCH3CGLCCXYL4FAA_NODE_79",17822,3665.64048893504,0.00366564048893503,1445.69851834988,0.00144569851834988,35.5937817679183,3.55937817679183e-05,0,0,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
"vOTU0732","Caudoviricetes","Unclassified","Unclassified","Unclassified","Rare","Rare","Not detected","Not detected","Low-quality","virulent",0,"FCH3CGLCCXYL4FAA_NODE_792",5776,463.039965048113,0.000463039965048112,381.259897419128,0.000381259897419128,0,0,0,0,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
"vOTU0733","Caudoviricetes","Unclassified","Unclassified","Unclassified","Intermediate","Rare","Not detected","Not detected","Low-quality","virulent",0,"FCH3CGLCCXYL4FAA_NODE_793",5771,1139.86067441246,0.00113986067441246,190.79497590561,0.00019079497590561,0,0,0,0,TRUE,"Caudoviricetes",FALSE,"",FALSE,"",FALSE,""
